2023-09-01 22-56-02 | Initializing librouter...
2023-09-01 22-56-02 | Getting modules...
2023-09-01 22-56-02 | Loading settings...
2023-09-01 22-56-07 | Loading pairs...
2023-09-01 22-56-07 | Loading filter rules...
2023-09-01 22-56-07 | *** LoadFilterRules: No rules loaded
2023-09-01 22-56-07 | Loading IP exclusions...
2023-09-01 22-56-07 | Setting up user interface...
2023-09-01 22-56-07 | Loading port list...
2023-09-01 22-56-07 | Loading IP range list...
2023-09-01 22-56-07 | Initialization done
2023-09-01 23-00-04 | Closing, saving settings...
2023-09-01 23-00-05 | Normal program termination
